month,day,theme,vibe
May,22,Scent,Abundance & Sensation
May,23,Layer,Abundance & Sensation
May,24,Petal,Abundance & Sensation
May,25,Ripe,Abundance & Sensation
May,26,Hum,Abundance & Sensation
May,27,Gleam,Abundance & Sensation
May,28,Rich,Abundance & Sensation
May,29,Pleasure,Abundance & Sensation
May,30,Ornament,Abundance & Sensation
May,31,Bounty,Abundance & Sensation
June,1,Solstice,Light & Expansion
June,2,Zenith,Light & Expansion
June,3,Flare,Light & Expansion
June,4,Infinite,Light & Expansion
June,5,Beam,Light & Expansion
June,6,Golden,Light & Expansion
June,7,Stretch,Light & Expansion
June,8,Peak,Light & Expansion
June,9,Radiant,Light & Expansion
June,10,Exposed,Light & Expansion
June,11,Glimmer,Light & Expansion
June,12,Wide,Light & Expansion
June,13,Burnish,Light & Expansion
June,14,Horizon,Light & Expansion
June,15,Limitless,Light & Expansion
June,16,Solar,Light & Expansion
June,17,Height,Light & Expansion
June,18,Blaze,Light & Expansion
June,19,Open,Light & Expansion
June,20,Boundless,Light & Expansion
June,21,Shine,Light & Expansion
June,22,Static,Light & Expansion
June,23,Vast,Light & Expansion
June,24,Noon,Light & Expansion
June,25,Halo,Light & Expansion
June,26,Crown,Light & Expansion
June,27,Glow,Light & Expansion
June,28,Direct,Light & Expansion
June,29,Pulse,Light & Expansion
June,30,Warmth,Light & Expansion
July,1,Fever,Heat & Intensity
July,2,Dust,Heat & Intensity
July,3,Shimmer,Heat & Intensity
July,4,Mirage,Heat & Intensity
July,5,Scorched,Heat & Intensity
July,6,Sizzle,Heat & Intensity
July,7,Parched,Heat & Intensity
July,8,Heavy,Heat & Intensity
July,9,Daze,Heat & Intensity
July,10,Sharp,Heat & Intensity
July,11,Stifle,Heat & Intensity
July,12,Bold,Heat & Intensity
July,13,Grind,Heat & Intensity
July,14,Thirst,Heat & Intensity
July,15,Arid,Heat & Intensity
July,16,Fierce,Heat & Intensity
July,17,Molten,Heat & Intensity
July,18,Glare,Heat & Intensity
July,19,Raw,Heat & Intensity
July,20,Sunbaked,Heat & Intensity
July,21,Primal,Heat & Intensity
July,22,Impact,Heat & Intensity
July,23,Pressure,Heat & Intensity
July,24,Sudden,Heat & Intensity
July,25,Fevered,Heat & Intensity
July,26,Cinder,Heat & Intensity
July,27,Ash,Heat & Intensity
July,28,Burn,Heat & Intensity
July,29,Dry,Heat & Intensity
July,30,Intense,Heat & Intensity
July,31,Grit,Heat & Intensity
August,1,Languid,Stillness & Transition
August,2,Slow,Stillness & Transition
August,3,Pause,Stillness & Transition
August,4,Drift,Stillness & Transition
August,5,Slumber,Stillness & Transition
August,6,Quiet,Stillness & Transition
August,7,Ripe,Stillness & Transition
August,8,Heavy,Stillness & Transition
August,9,Stagnant,Stillness & Transition
August,10,Patient,Stillness & Transition
August,11,Weight,Stillness & Transition
August,12,Mellow,Stillness & Transition
August,13,Golden,Stillness & Transition
August,14,Suspended,Stillness & Transition
August,15,Ease,Stillness & Transition
August,16,Lingering,Stillness & Transition
August,17,Fading,Stillness & Transition
August,18,Soften,Stillness & Transition
August,19,Rest,Stillness & Transition
August,20,Yield,Stillness & Transition
August,21,Slant,Stillness & Transition
August,22,Peace,Stillness & Transition
August,23,Dusk,Stillness & Transition
August,24,Serene,Stillness & Transition
August,25,Last,Stillness & Transition
August,26,Late,Stillness & Transition
August,27,Threshold,Stillness & Transition
August,28,Subtle,Stillness & Transition
August,29,Gentle,Stillness & Transition
August,30,Calm,Stillness & Transition
August,31,Still,Stillness & Transition
September,1,Reap,Harvest & Structure
September,2,Gather,Harvest & Structure
September,3,Grain,Harvest & Structure
September,4,Order,Harvest & Structure
September,5,Sift,Harvest & Structure
September,6,Ritual,Harvest & Structure
September,7,Store,Harvest & Structure
September,8,Crisp,Harvest & Structure
September,9,Edge,Harvest & Structure
September,10,System,Harvest & Structure
September,11,Frame,Harvest & Structure
September,12,Measure,Harvest & Structure
September,13,Logic,Harvest & Structure
September,14,Stockpile,Harvest & Structure
September,15,Useful,Harvest & Structure
September,16,Practical,Harvest & Structure
September,17,Solid,Harvest & Structure
September,18,Weaver,Harvest & Structure
September,19,Harvest,Harvest & Structure
September,20,Bundle,Harvest & Structure
September,21,Count,Harvest & Structure
September,22,Method,Harvest & Structure
September,23,Purpose,Harvest & Structure
September,24,Result,Harvest & Structure
September,25,Seasoned,Harvest & Structure
September,26,Mature,Harvest & Structure
September,27,Core,Harvest & Structure
September,28,Build,Harvest & Structure
September,29,Form,Harvest & Structure
September,30,Earthy,Harvest & Structure
October,1,Rust,Decay & Mystery
October,2,Brittle,Decay & Mystery
October,3,Skeleton,Decay & Mystery
October,4,Veil,Decay & Mystery
October,5,Ghost,Decay & Mystery
October,6,Hollow,Decay & Mystery
October,7,Shadow,Decay & Mystery
October,8,Mask,Decay & Mystery
October,9,Ancient,Decay & Mystery
October,10,Crumble,Decay & Mystery
October,11,Spine,Decay & Mystery
October,12,Deep,Decay & Mystery
October,13,Cryptic,Decay & Mystery
October,14,Dark,Decay & Mystery
October,15,Bone,Decay & Mystery
October,16,Echo,Decay & Mystery
October,17,Spectral,Decay & Mystery
October,18,Rotten,Decay & Mystery
October,19,Hidden,Decay & Mystery
October,20,Secret,Decay & Mystery
October,21,Fade,Decay & Mystery
October,22,Loom,Decay & Mystery
October,23,Twilight,Decay & Mystery
October,24,Cobweb,Decay & Mystery
October,25,Strange,Decay & Mystery
October,26,Empty,Decay & Mystery
October,27,Root,Decay & Mystery
October,28,Haunt,Decay & Mystery
October,29,Amber,Decay & Mystery
October,30,Wilt,Decay & Mystery
October,31,Night,Decay & Mystery
November,1,Grey,Reflection & Gravity
November,2,Bare,Reflection & Gravity
November,3,Stark,Reflection & Gravity
November,4,Honest,Reflection & Gravity
November,5,Solitude,Reflection & Gravity
November,6,Grave,Reflection & Gravity
November,7,Humble,Reflection & Gravity
November,8,Weight,Reflection & Gravity
November,9,Sparse,Reflection & Gravity
November,10,Cold,Reflection & Gravity
November,11,Vast,Reflection & Gravity
November,12,Heavy,Reflection & Gravity
November,13,Quiet,Reflection & Gravity
November,14,Chill,Reflection & Gravity
November,15,Depth,Reflection & Gravity
November,16,Memory,Reflection & Gravity
November,17,Interior,Reflection & Gravity
November,18,Ancestor,Reflection & Gravity
November,19,Bleak,Reflection & Gravity
November,20,Essential,Reflection & Gravity
November,21,Minimal,Reflection & Gravity
November,22,Stern,Reflection & Gravity
November,23,Deep,Reflection & Gravity
November,24,Still,Reflection & Gravity
November,25,Truth,Reflection & Gravity
November,26,Raw,Reflection & Gravity
November,27,Stoic,Reflection & Gravity
November,28,Endure,Reflection & Gravity
November,29,Steady,Reflection & Gravity
November,30,Gritty,Reflection & Gravity
December,1,Frost,Rest & Magic
December,2,Crystal,Rest & Magic
December,3,Sleep,Rest & Magic
December,4,Hibernate,Rest & Magic
December,5,Star,Rest & Magic
December,6,Gift,Rest & Magic
December,7,Sacred,Rest & Magic
December,8,Peace,Rest & Magic
December,9,Hearth,Rest & Magic
December,10,Sparkle,Rest & Magic
December,11,White,Rest & Magic
December,12,Dream,Rest & Magic
December,13,Vision,Rest & Magic
December,14,End,Rest & Magic
December,15,Candle,Rest & Magic
December,16,Silent,Rest & Magic
December,17,Circle,Rest & Magic
December,18,Wonder,Rest & Magic
December,19,Close,Rest & Magic
December,20,Eternal,Rest & Magic
December,21,Myth,Rest & Magic
December,22,Legend,Rest & Magic
December,23,Starlight,Rest & Magic
December,24,Sanctuary,Rest & Magic
December,25,Kindness,Rest & Magic
December,26,Legacy,Rest & Magic
December,27,Reflection,Rest & Magic
December,28,Pure,Rest & Magic
December,29,North,Rest & Magic
December,30,Compass,Rest & Magic
December,31,Beyond,Rest & Magic
